#--------------------------------------------------------------
     0    0.463    0.656 1100.566 
     1   -0.525    0.683  254.835 
     2    0.400    0.681  197.903 
     3    0.636    0.669  153.131 
     4    0.801    0.589   96.625 
     5    0.681    0.540   73.466 
     6    1.821    0.425  135.055 
     7    1.323    0.426  112.414 
     8    0.482    0.433  139.731 
     9    0.203    0.437  130.409 
    10    0.797    0.423  134.934 
    11    0.364    0.450  116.641 
    12    0.991    0.515  131.420 
    13    0.159    0.577  120.132 
    14    0.837    0.618  168.807 
    15    0.723    0.571  125.414 
    16    0.471    0.527  104.592 
    17    0.946    0.528   72.093 
    18    0.424    0.516   77.642 
    19    0.824    0.482  109.443 
    20    1.167    0.448  112.661 
    21    0.188    0.420   93.814 
    22    0.275    0.404  118.633 
    23   -0.239    0.393  123.785 
    24   -1.043    0.394  106.148 
    25   -1.407    0.430   91.779 
    26   -0.782    0.408  101.219 
    27   -1.408    0.421   98.443 
    28   -1.068    0.419   92.414 
    29   -1.134    0.423   85.816 
    30   -0.533    0.439   80.102 
    31   -0.990    0.416  116.120 
    32    0.822    0.415  102.947 
    33    0.849    0.393   96.427 
    34    0.949    0.372  106.948 
    35    0.671    0.373  104.750 
    36   -0.108    0.378  114.539 
    37   -0.267    0.385   84.526 
    38    0.181    0.415   73.624 
    39   -0.072    0.434   80.898 
    40   -1.027    0.436   94.720 
    41   -1.091    0.432  102.883 
    42   -0.615    0.455   61.320 
    43   -0.790    0.473   87.799 
    44   -0.452    0.481   65.409 
    45   -1.059    0.471   97.771 
    46   -0.773    0.472   88.429 
    47   -0.089    0.449   72.254 
    48   -0.269    0.423   87.870 
    49    0.768    0.399  105.516 
    50   -0.110    0.400   98.479 
    51    0.322    0.374  128.864 
    52   -0.805    0.380  105.836 
    53    0.401    0.383  136.900 
    54   -0.323    0.378  138.745 
    55   -0.839    0.381   91.160 
    56   -1.085    0.365   99.597 
    57   -1.236    0.392   97.444 
    58   -1.177    0.366  109.520 
    59   -1.459    0.370   95.739 
    60   -1.594    0.382  104.727 
    61   -0.834    0.376   86.802 
    62   -0.483    0.367  108.757 
    63    0.342    0.382  105.186 
    64    0.535    0.371  131.914 
    65    1.045    0.363  126.032 
    66    1.837    0.372  129.332 
    67    1.078    0.396  121.033 
    68    1.064    0.373  139.561 
    69    0.942    0.364  124.474 
    70    0.859    0.373  122.872 
    71   -0.054    0.386   89.937 
    72    0.070    0.367  138.265 
    73   -0.904    0.380  101.566 
    74   -0.396    0.382  113.490 
    75    0.141    0.381  127.801 
    76   -0.006    0.374  138.239 
    77   -0.473    0.375  115.564 
    78   -0.246    0.384  104.837 
    79    0.117    0.390   98.231 
    80    0.899    0.398  107.622 
    81    1.156    0.397   81.123 
    82    1.454    0.395  106.579 
    83    1.533    0.408   74.895 
    84    0.855    0.397   79.958 
    85    0.595    0.372  114.233 
    86    0.260    0.381   91.007 
    87   -0.121    0.378  116.428 
    88   -0.976    0.391  104.964 
    89   -0.274    0.390   97.331 
    90   -0.036    0.413   88.424 
    91   -1.003    0.393  103.685 
    92   -0.847    0.379  121.663 
    93   -0.406    0.385  104.504 
    94    0.110    0.384   96.900 
    95    0.158    0.371  113.982 
    96    0.045    0.383  117.771 
    97    0.724    0.383  131.299 
    98    1.229    0.387  111.104 
    99    1.089    0.376  125.525 
   100    1.145    0.376  105.713 
   101    0.069    0.379   98.757 
   102   -0.087    0.390   99.397 
   103   -0.574    0.380  114.932 
   104   -0.439    0.373  101.385 
   105    0.023    0.376  116.736 
   106   -0.442    0.385   95.139 
   107   -0.485    0.387  125.069 
   108   -0.442    0.371  124.923 
   109   -0.455    0.357  164.618 
   110    0.231    0.378  118.787 
   111    0.215    0.364  111.336 
   112    0.255    0.376  124.823 
   113   -0.008    0.378  116.873 
   114    0.446    0.370  116.091 
   115    0.399    0.377  129.762 
   116    0.155    0.377  106.953 
   117    0.125    0.379  119.241 
   118    0.299    0.386  104.111 
   119   -0.028    0.369  141.248 
   120   -1.741    0.359  146.806 
   121   -1.745    0.377  107.431 
   122   -1.889    0.361  132.093 
   123   -2.033    0.369  122.343 
   124   -1.555    0.372   93.950 
   125   -1.611    0.383  111.585 
   126   -0.577    0.383  109.985 
   127    0.117    0.376  117.879 
   128    1.221    0.367   98.541 
   129    1.468    0.378  123.695 
   130    2.250    0.381  101.797 
   131    1.894    0.378  124.357 
   132    1.938    0.379  117.936 
   133    0.838    0.382   94.623 
   134    0.560    0.376  114.633 
   135   -0.240    0.381  110.567 
   136   -0.174    0.386  101.298 
   137   -0.101    0.373  100.274 
   138   -0.337    0.384   92.121 
   139   -0.394    0.379  100.245 
   140   -0.069    0.376   90.868 
   141   -0.290    0.377  107.750 
   142    0.331    0.383  104.237 
   143    0.080    0.370  113.180 
   144    0.028    0.374  142.380 
   145    0.684    0.382  104.485 
   146    1.044    0.377  122.893 
   147    0.597    0.369  140.028 
   148    0.440    0.364  128.706 
   149   -0.148    0.366  110.400 
   150    0.606    0.383  115.600 
   151   -0.427    0.374  151.875 
   152   -1.099    0.372  113.110 
   153   -1.126    0.371  123.487 
   154   -1.961    0.380  119.038 
   155   -1.695    0.364  149.584 
   156   -1.198    0.367  127.582 
   157   -1.004    0.367  136.891 
   158   -0.683    0.378  139.438 
   159   -0.282    0.376  123.025 
   160    0.282    0.382  144.003 
   161    0.159    0.380  127.657 
   162    0.861    0.365  168.888 
   163    0.774    0.393  137.760 
   164    0.299    0.384  105.673 
   165    0.469    0.389  101.135 
   166    0.183    0.372  117.472 
   167   -0.637    0.392  102.837 
   168   -0.166    0.375  112.128 
   169   -0.302    0.379   97.212 
   170   -0.155    0.368  124.664 
   171   -0.119    0.370  114.085 
   172   -0.883    0.374  122.183 
   173   -0.737    0.373  110.717 
   174   -0.250    0.388  106.989 
   175   -0.118    0.385  101.470 
   176    0.109    0.379  102.432 
   177   -0.010    0.374  113.018 
   178    0.287    0.373  134.523 
   179    0.249    0.376  130.574 
   180    0.932    0.371  102.641 
   181   -0.278    0.377   90.851 
   182    0.367    0.390   94.537 
   183    0.021    0.383   97.013 
   184   -1.093    0.372   93.196 
   185   -0.774    0.371  119.549 
   186   -0.875    0.375  113.831 
   187   -1.344    0.369  119.176 
   188   -0.796    0.366  137.953 
   189   -0.517    0.368  121.267 
   190   -0.493    0.381  114.866 
   191    0.104    0.372  115.654 
   192    1.048    0.388  116.188 
   193    0.656    0.372  106.933 
   194    1.838    0.388   88.660 
   195    1.260    0.381  103.455 
   196    1.729    0.381  107.212 
   197    0.684    0.366  124.339 
   198    0.839    0.359  100.178 
   199    0.782    0.369  124.544 
   200   -1.207    0.392   83.752 
   201   -0.749    0.373  109.347 
   202   -0.100    0.369  117.447 
   203   -0.657    0.382  102.679 
   204   -0.513    0.370  121.333 
   205   -0.139    0.362  121.530 
   206   -0.106    0.377  124.367 
   207    0.078    0.377  107.899 
   208    0.100    0.374  118.882 
   209    0.565    0.379  105.999 
   210    0.200    0.372  101.447 
   211    1.117    0.383  104.287 
   212    0.798    0.374  123.211 
   213   -0.167    0.386   97.525 
   214    0.876    0.372  119.410 
   215   -0.224    0.380   98.503 
   216   -0.541    0.383  118.943 
   217   -1.609    0.366  150.256 
   218   -0.316    0.359  134.230 
   219   -1.595    0.398  107.268 
   220   -0.739    0.369  145.382 
   221   -0.337    0.372  129.208 
   222   -0.845    0.375  126.142 
   223    0.344    0.396  116.809 
   224    1.214    0.375  128.564 
   225    0.614    0.375  127.781 
   226    1.265    0.386  123.256 
   227    1.321    0.375  130.428 
   228    0.487    0.368  130.691 
   229    0.461    0.396  121.460 
   230   -0.075    0.383  134.278 
   231   -0.689    0.386  135.932 
   232   -0.217    0.390  120.908 
   233   -0.059    0.376  122.687 
   234   -0.759    0.374  125.627 
   235   -0.862    0.382  126.464 
